Category,Subcategory,Name,Description,Community Comments,Key Concepts,URL,Date Added,Source,Status,Type,Verification Status
Books,Foundational Theory,All About Love by bell hooks,Defines love as action and political practice rather than sentiment,Core framework for revolution of love - love as concrete practice in infrastructure design,"Love as political action, love requires justice",https://www.goodreads.com/book/show/17607.All_About_Love,"November 16, 2025 6:36 AM (CST)",Core Team,Live,Book,Verified
Books,Foundational Theory,Man's Search for Meaning by Viktor Frankl,Meaning must be found through action and attitude not given through framework,Addresses Kristine's question about meaning-making - meaning emerges through engaged work,"Meaning through practice, logotherapy",https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning,"November 16, 2025 6:36 AM (CST)",Core Team,Live,Book,Verified
Books,Foundational Theory,The Human Condition by Hannah Arendt,Loneliness as political condition created by loss of public realm,Explains loneliness epidemic as infrastructure problem not personal failure,"Public realm, political action, loneliness as systemic",https://www.goodreads.com/book/show/66278.The_Human_Condition,"November 16, 2025 6:36 AM (CST)",Core Team,Live,Book,Verified
Books,Foundational Theory,Peace (Shalom) by Walter Brueggemann,Hebrew shalom as wholeness and right relationships not absence of conflict,Theological foundation for community of shalom - wholeness through right relationship,"Shalom, economic justice, completeness",https://www.goodreads.com/book/show/180893.Peace,"November 16, 2025 6:36 AM (CST)",Core Team,Live,Book,Verified
Books,Strategy & Practice,Emergent Strategy by adrienne maree brown,Small-scale practice that creates conditions for emergence and transformation,Direct application to Sandy Creek as microcosm - replication through adaptation not scaling,"Fractals, emergence, small is all, move at speed of trust",https://www.goodreads.com/book/show/29633913-emergent-strategy,"November 16, 2025 6:36 AM (CST)",Core Team,Live,Book,Verified
Books,Strategy & Practice,The Next American Revolution by Grace Lee Boggs,Revolution as returning to fundamental humanity not overthrowing systems,Reframes revolution from war to recovery of human capacity to make/care/govern,"Transformative organizing, place-based change, beloved community",https://www.goodreads.com/book/show/11325321-the-next-american-revolution,"November 16, 2025 6:36 AM (CST)",Core Team,Live,Book,Verified
Books,Economics & Systems,Small is Beautiful by E.F. Schumacher,Appropriate technology and economics as if people mattered,Foundation for OSE/Fab Lab approach - locally maintainable technology,"Appropriate technology, Buddhist economics, human-scale",https://www.goodreads.com/book/show/1117786.Small_Is_Beautiful,"November 16, 2025 6:36 AM (CST)",Core Team,Live,Book,Verified
Books,Economics & Systems,Governing the Commons by Elinor Ostrom,Principles for successful commons management by communities,Theoretical foundation for Platform Commons governance model,"Commons governance, Ostrom's 8 principles, polycentric governance",https://www.goodreads.com/book/show/1048424.Governing_the_Commons,"November 16, 2025 6:36 AM (CST)",Core Team,Live,Book,Verified
Books,Economics & Systems,Doughnut Economics by Kate Raworth,Economic model meeting human needs within planetary boundaries,Framework for balancing community needs with ecological limits,"Regenerative economics, safe and just space, circular economy",https://www.goodreads.com/book/show/29214420-doughnut-economics,"November 16, 2025 6:36 AM (CST)",Core Team,Live,Book,Verified
Books,Economics & Systems,The Community Resilience Reader edited by Daniel Lerch,Essential resources for community-led resilience and transition,Comprehensive overview of community resilience strategies and case studies,"Community resilience, climate adaptation, local action",https://www.goodreads.com/book/show/31451273-the-community-resilience-reader,"November 16, 2025 6:36 AM (CST)",Core Team,Live,Book,Verified
